location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Holstenstraße (Mitte), Kiel;2020-12-02 00:00:00 +0100;Wednesday;15306;4;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-12-03 00:00:00 +0100;Thursday;14335;1;cloudy;
Holstenstraße (Mitte), Kiel;2020-12-04 00:00:00 +0100;Friday;16989;4;cloudy;
Holstenstraße (Mitte), Kiel;2020-12-05 00:00:00 +0100;Saturday;24471;4;rain;
Holstenstraße (Mitte), Kiel;2020-12-06 00:00:00 +0100;Sunday;5310;7;rain;
Holstenstraße (Mitte), Kiel;2020-12-07 00:00:00 +0100;Monday;15791;8;rain;
Holstenstraße (Mitte), Kiel;2020-12-08 00:00:00 +0100;Tuesday;15987;7;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-12-09 00:00:00 +0100;Wednesday;14383;4;rain;
Holstenstraße (Mitte), Kiel;2020-12-10 00:00:00 +0100;Thursday;14649;3;rain;
Holstenstraße (Mitte), Kiel;2020-12-11 00:00:00 +0100;Friday;16463;2;cloudy;
Holstenstraße (Mitte), Kiel;2020-12-12 00:00:00 +0100;Saturday;21651;3;rain;
Holstenstraße (Mitte), Kiel;2020-12-13 00:00:00 +0100;Sunday;3769;3;rain;
Holstenstraße (Mitte), Kiel;2020-12-14 00:00:00 +0100;Monday;17948;7;rain;
Holstenstraße (Mitte), Kiel;2020-12-15 00:00:00 +0100;Tuesday;19640;8;rain;
Holstenstraße (Mitte), Kiel;2020-12-16 00:00:00 +0100;Wednesday;5468;8;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-12-17 00:00:00 +0100;Thursday;3998;8;rain;
Holstenstraße (Mitte), Kiel;2020-12-18 00:00:00 +0100;Friday;5202;8;partly-cloudy-day;
